"t_stamp","boucherville/deck shop/line 51/standard/status"
"2024-03-20 22:41:59.249","3"
"2024-03-20 22:42:03.762","6"
"2024-03-20 22:42:25.809","2"
"2024-03-20 22:46:07.765","3"
"2024-03-20 22:46:13.775","6"
"2024-03-20 22:46:32.811","2"
"2024-03-20 22:46:33.814","6"
"2024-03-20 22:46:51.987","2"
"2024-03-20 22:47:16.068","3"
"2024-03-20 22:47:20.073","6"
"2024-03-20 22:47:49.133","7"
"2024-03-20 22:47:51.138","2"
"2024-03-21 07:52:03.730","3"
"2024-03-21 07:52:09.744","6"
"2024-03-21 07:52:28.534","2"
"2024-03-21 07:54:16.763","3"
"2024-03-21 07:54:22.274","6"
"2024-03-21 07:56:54.604","2"
"2024-03-21 07:59:41.437","3"
"2024-03-21 07:59:49.452","6"
"2024-03-21 08:00:25.534","7"
"2024-03-21 08:00:27.536","2"
"2024-03-21 08:02:52.307","3"
"2024-03-21 08:02:58.320","6"
"2024-03-21 08:04:39.636","7"
"2024-03-21 08:04:47.652","2"
"2024-03-21 08:05:20.889","6"
"2024-03-21 08:09:31.564","7"
"2024-03-21 08:09:38.619","2"
"2024-03-21 08:10:26.666","6"
"2024-03-21 08:14:12.820","2"
"2024-03-21 08:22:48.783","3"
"2024-03-21 08:22:51.788","6"
"2024-03-21 08:23:34.886","7"
"2024-03-21 08:23:43.901","2"
"2024-03-21 08:24:53.615","6"
"2024-03-21 08:27:24.961","7"
"2024-03-21 08:27:32.980","2"
"2024-03-21 08:28:12.673","6"
"2024-03-21 08:43:08.918","2"
"2024-03-21 08:43:42.025","6"
"2024-03-21 08:44:38.136","2"
"2024-03-21 08:46:27.972","3"
"2024-03-21 08:46:31.983","6"
"2024-03-21 08:47:14.072","7"
"2024-03-21 08:47:17.090","2"
"2024-03-21 08:48:22.104","3"
"2024-03-21 08:48:27.114","6"
"2024-03-21 08:49:00.277","7"
"2024-03-21 08:49:07.295","2"
"2024-03-21 08:49:42.357","3"
"2024-03-21 08:49:43.382","6"
"2024-03-21 08:52:12.226","7"
"2024-03-21 08:52:20.244","2"
"2024-03-21 08:55:32.860","3"
"2024-03-21 08:55:35.867","6"
