"t_stamp","boucherville/deck shop/line 51/standard/status"
"2024-03-23 14:48:47.518","2.0"
"2024-03-23 14:50:47.518","2.0"
"2024-03-23 14:52:47.518","2.0"
"2024-03-23 14:54:47.518","2.0"
"2024-03-23 14:56:47.518","2.0"
"2024-03-23 14:58:47.518","2.0"
"2024-03-23 15:00:47.518","2.0"
"2024-03-23 15:02:47.518","2.0"
"2024-03-23 15:04:47.518","2.0"
"2024-03-23 15:06:47.518","2.0"
"2024-03-23 15:08:47.518","2.0"
"2024-03-23 15:10:47.518","2.0"
"2024-03-23 15:12:47.518","2.0"
"2024-03-23 15:14:47.518","2.0"
"2024-03-23 15:16:47.518","2.0"
"2024-03-23 15:18:47.518","2.0"
"2024-03-23 15:20:47.518","2.0"
"2024-03-23 15:22:47.518","2.0"
"2024-03-23 15:24:47.518","2.0"
"2024-03-23 15:26:47.518","2.0"
"2024-03-23 15:28:47.518","2.0"
"2024-03-23 15:30:47.518","2.0"
"2024-03-23 15:32:47.518","2.0"
"2024-03-23 15:34:47.518","2.0"
"2024-03-23 15:36:47.518","2.0"
"2024-03-23 15:38:47.518","2.0"
"2024-03-23 15:40:47.518","2.0"
"2024-03-23 15:42:47.518","2.0"
"2024-03-23 15:44:47.518","2.0"
"2024-03-23 15:46:47.518","2.0"
"2024-03-23 15:48:47.518","2.0"
"2024-03-23 15:50:47.518","2.0"
"2024-03-23 15:52:47.518","2.0"
"2024-03-23 15:54:47.518","2.0"
"2024-03-23 15:56:47.518","2.0"
"2024-03-23 15:58:47.518","2.0"
"2024-03-23 16:00:47.518","2.0"
"2024-03-23 16:02:47.518","2.0"
"2024-03-23 16:04:47.518","2.0"
"2024-03-23 16:06:47.518","2.0"
"2024-03-23 16:08:47.518","2.0"
"2024-03-23 16:10:47.518","2.0"
"2024-03-23 16:12:47.518","2.0"
"2024-03-23 16:14:47.518","2.0"
"2024-03-23 16:16:47.518","2.0"
"2024-03-23 16:18:47.518","2.0"
"2024-03-23 16:20:47.518","2.0"
"2024-03-23 16:22:47.518","2.0"
"2024-03-23 16:24:47.518","2.0"
"2024-03-23 16:26:47.518","2.0"
"2024-03-23 16:28:47.518","2.0"
"2024-03-23 16:30:47.518","2.0"
"2024-03-23 16:32:47.518","2.0"
"2024-03-23 16:34:47.518","2.0"
"2024-03-23 16:36:47.518","2.0"
"2024-03-23 16:38:47.518","2.0"
"2024-03-23 16:40:47.518","2.0"
"2024-03-23 16:42:47.518","2.0"
"2024-03-23 16:44:47.518","2.0"
"2024-03-23 16:46:47.518","2.0"
"2024-03-23 16:48:47.518","2.0"
"2024-03-23 16:50:47.518","2.0"
"2024-03-23 16:52:47.518","2.0"
"2024-03-23 16:54:47.518","2.0"
"2024-03-23 16:56:47.518","2.0"
"2024-03-23 16:58:47.518","2.0"
"2024-03-23 17:00:47.518","2.0"
"2024-03-23 17:02:47.518","2.0"
"2024-03-23 17:04:47.518","2.0"
"2024-03-23 17:06:47.518","2.0"
"2024-03-23 17:08:47.518","2.0"
"2024-03-23 17:10:47.518","2.0"
"2024-03-23 17:12:47.518","2.0"
"2024-03-23 17:14:47.518","2.0"
"2024-03-23 17:16:47.518","2.0"
"2024-03-23 17:18:47.518","2.0"
"2024-03-23 17:20:47.518","2.0"
"2024-03-23 17:22:47.518","2.0"
"2024-03-23 17:24:47.518","2.0"
"2024-03-23 17:26:47.518","2.0"
"2024-03-23 17:28:47.518","2.0"
"2024-03-23 17:30:47.518","2.0"
"2024-03-23 17:32:47.518","2.0"
"2024-03-23 17:34:47.518","2.0"
"2024-03-23 17:36:47.518","2.0"
"2024-03-23 17:38:47.518","2.0"
"2024-03-23 17:40:47.518","2.0"
"2024-03-23 17:42:47.518","2.0"
"2024-03-23 17:44:47.518","2.0"
