"id","time","previous","difference","productionLineName","seats","spacers"
35420,"2024-03-11 11:50:20.875987+00","2024-03-11 11:42:15.847246+00","00:08:05.028741","25",False,False
35186,"2024-03-07 12:06:49.452232+00","2024-03-07 11:58:43.441802+00","00:08:06.01043","25",False,False
35573,"2024-03-12 06:12:25.127439+00","2024-03-12 06:04:19.014777+00","00:08:06.112662","25",False,False
35741,"2024-03-13 02:44:53.662501+00","2024-03-13 02:36:46.979005+00","00:08:06.683496","25",False,False
35955,"2024-03-14 04:46:50.460408+00","2024-03-14 04:38:43.730137+00","00:08:06.730271","25",False,False
35562,"2024-03-12 04:37:57.807594+00","2024-03-12 04:29:50.48887+00","00:08:07.318724","25",False,False
35956,"2024-03-14 04:54:58.970122+00","2024-03-14 04:46:50.460408+00","00:08:08.509714","25",False,False
35920,"2024-03-13 23:44:36.081924+00","2024-03-13 23:36:26.610336+00","00:08:09.471588","25",False,False
35395,"2024-03-08 20:10:08.429792+00","2024-03-08 20:01:58.818099+00","00:08:09.611693","25",False,False
35503,"2024-03-11 19:50:43.064113+00","2024-03-11 19:42:33.362267+00","00:08:09.701846","25",False,False
35506,"2024-03-11 20:05:11.14954+00","2024-03-11 19:56:57.645586+00","00:08:13.503954","25",False,False
35481,"2024-03-11 17:36:09.59903+00","2024-03-11 17:27:55.114279+00","00:08:14.484751","25",False,False
35842,"2024-03-13 15:10:31.770381+00","2024-03-13 15:02:14.913172+00","00:08:16.857209","25",False,False
35949,"2024-03-14 03:51:32.999461+00","2024-03-14 03:43:14.771811+00","00:08:18.22765","25",False,False
35971,"2024-03-14 10:45:00.318304+00","2024-03-14 10:36:41.315251+00","00:08:19.003053","25",False,False
35981,"2024-03-14 12:00:09.334855+00","2024-03-14 11:51:47.791205+00","00:08:21.54365","25",False,False
35313,"2024-03-07 22:51:59.218136+00","2024-03-07 22:43:36.922704+00","00:08:22.295432","25",False,False
35713,"2024-03-12 22:52:55.824659+00","2024-03-12 22:44:32.975062+00","00:08:22.849597","25",False,False
35929,"2024-03-14 01:07:31.525541+00","2024-03-14 00:59:05.176075+00","00:08:26.349466","25",False,False
35648,"2024-03-12 15:08:59.767878+00","2024-03-12 15:00:32.78422+00","00:08:26.983658","25",False,False
35319,"2024-03-07 23:32:02.150446+00","2024-03-07 23:23:33.278877+00","00:08:28.871569","25",False,False
35926,"2024-03-14 00:39:46.260814+00","2024-03-14 00:31:16.698289+00","00:08:29.562525","25",False,False
35368,"2024-03-08 06:29:40.518611+00","2024-03-08 06:21:10.522724+00","00:08:29.995887","25",False,False
35329,"2024-03-08 00:52:26.799611+00","2024-03-08 00:43:56.769531+00","00:08:30.03008","25",False,False
35372,"2024-03-08 07:07:48.6316+00","2024-03-08 06:59:15.921843+00","00:08:32.709757","25",False,False
35404,"2024-03-11 10:28:29.641802+00","2024-03-11 10:19:56.127173+00","00:08:33.514629","25",False,False
35706,"2024-03-12 21:53:06.740858+00","2024-03-12 21:44:32.190668+00","00:08:34.55019","25",False,False
35318,"2024-03-07 23:23:33.278877+00","2024-03-07 23:14:58.503098+00","00:08:34.775779","25",False,False
35718,"2024-03-12 23:33:43.685688+00","2024-03-12 23:25:08.364348+00","00:08:35.32134","25",False,False
35796,"2024-03-13 11:15:04.832114+00","2024-03-13 11:06:29.212448+00","00:08:35.619666","25",False,False
35520,"2024-03-11 22:30:52.243971+00","2024-03-11 22:22:15.274097+00","00:08:36.969874","25",False,False
35649,"2024-03-12 15:17:36.86909+00","2024-03-12 15:08:59.767878+00","00:08:37.101212","25",False,False
35139,"2024-03-07 01:56:57.17736+00","2024-03-07 01:48:18.459602+00","00:08:38.717758","25",False,False
35671,"2024-03-12 17:48:41.430609+00","2024-03-12 17:40:02.491294+00","00:08:38.939315","25",False,False
35779,"2024-03-13 05:58:56.747118+00","2024-03-13 05:50:16.405596+00","00:08:40.341522","25",NULL,NULL
35726,"2024-03-13 00:55:53.121153+00","2024-03-13 00:47:09.79578+00","00:08:43.325373","25",False,False
35169,"2024-03-07 05:58:36.935022+00","2024-03-07 05:49:52.997952+00","00:08:43.93707","25",False,False
35720,"2024-03-12 23:52:29.675578+00","2024-03-12 23:43:42.346581+00","00:08:47.328997","25",False,False
35334,"2024-03-08 01:46:30.548279+00","2024-03-08 01:37:42.370657+00","00:08:48.177622","25",False,False
35725,"2024-03-13 00:47:09.79578+00","2024-03-13 00:38:19.341387+00","00:08:50.454393","25",False,False
35795,"2024-03-13 11:06:29.212448+00","2024-03-13 10:57:36.525505+00","00:08:52.686943","25",False,False
